"","typingDuration","game_id","video_id","hour","dayOfWeek","match"
"10572",1000,6183,2713,12,5,3.81873178106443
"10573",2000,6183,2713,12,5,2.97832604743317
"10574",1000,6183,2713,12,5,7.67032004603564
"10575",2000,6183,2713,12,5,10.7669151240274
"10576",0,6183,2713,12,5,3.07785817523705
"10577",2000,6183,2713,12,5,2.55977177420094
"10578",0,6183,2713,12,5,0
"10579",1000,6187,3889,12,5,2.47708180148792
"10580",1000,6187,3889,12,5,6.6650025281384
"10581",2000,6187,3889,12,5,6.49467930599763
"10582",2000,6187,3889,12,5,4.16617831569662
"10583",1000,6187,3889,12,5,3.84528052584601
"10584",1000,6187,3889,12,5,6.63790548148407
"10585",1000,6187,3889,12,5,6.7912628524404
"10586",2000,6187,3889,12,5,5.2131680939503
"10587",2000,6187,3889,12,5,5.51351751971534
"10588",1000,6187,3889,12,5,0
"10589",0,6187,3889,12,5,2.63746150615596
"10590",2000,6187,3889,12,5,1.95406603631459
"10591",1000,6187,3889,12,5,4.19009174178808
"10592",2000,6187,3889,12,5,0.34240153965193
"10593",1000,6187,3889,12,5,2.04793652864118
"10594",1000,6187,3889,12,5,5.5526201557463
"10595",3000,6187,3889,12,5,0.54881163609403
"10596",3000,6187,3889,12,5,3.68364513210027
"10597",0,6187,3889,12,5,3.03195312869927
"10598",1000,6187,3889,12,5,2.78961470803708
"10599",1000,6187,3889,12,5,4.85659318828563
"10600",1000,6187,3889,12,5,4.85659318828563
"10601",0,6187,3889,12,5,1.71542913240799
"10602",1000,6187,3889,12,5,0.83458729444579
"10603",1000,6187,3889,12,5,1.45992534017481e-06
"10604",1000,6187,3889,12,5,0.81873131047766
"10605",1000,6187,3889,12,5,0.01831563893484
"10606",1000,6187,3889,12,5,6.89075694045815
"10607",2000,6187,3889,12,5,6.74834124363429
"10608",1000,6187,3889,12,5,1.09762327218805
"10609",1000,6187,3889,12,5,1.54881163609403
"10610",1000,6187,3889,12,5,4.63857528130381
"10611",1000,6187,3889,12,5,4.63857528130381
"10612",1000,6187,3889,12,5,4.36754238917201
"10613",0,6187,3889,12,5,1.81873075307925
"10614",1000,6187,3889,13,5,0.00672735059447982
"10615",1000,6187,3889,13,5,0
"10616",2000,6188,3924,13,5,8.722223679976
"10617",2000,6188,3924,13,5,8.4474132238803
"10618",1000,6188,3924,13,5,12.1625112150751
"10619",1000,6188,3924,13,5,11.2232568988317
"10620",2000,6188,3924,13,5,0.54881163609403
"10621",2000,6188,3924,13,5,0.69301036817105
"10622",4000,6188,3924,13,5,8.950584005675
"10623",0,6188,3924,13,5,3.81873075307798
"10624",1000,6188,3924,13,5,13.6873184846861
"10625",1000,6188,3924,13,5,5.85706555836904
"10626",2000,6188,3924,13,5,1.77715774636094
"10627",1000,6188,3924,13,5,6.17602752491142
