"","typingDuration","game_id","video_id","hour","dayOfWeek","match"
"32789",3000,13236,3480,21,4,0.42868950379666
"32790",1000,13236,3480,21,4,1.36754238917201
"32791",1000,13236,3480,21,4,2.80131723466474
"32792",1000,13236,3480,21,4,0.57205264075571
"32793",1000,13236,3480,21,4,0.67032004603564
"32794",2000,13236,3480,21,4,7.21330277554277
"32795",1000,13236,3480,21,4,0.81873078082887
"32796",1000,13238,7143,21,4,0
"32797",3000,13239,3448,21,4,7.36836405136417
"32798",2000,13239,3448,21,4,5.19042481615757
"32799",3000,13239,3448,21,4,9.6099849050169
"32800",2000,13239,3448,21,4,7.89279462018483
"32801",2000,13239,3448,21,4,3.15937084514926
"32802",3000,13239,3448,21,4,0
"32803",1000,13239,3448,21,4,7.12233718669555
"32804",0,13239,3448,21,4,5.54112332971838
"32805",1000,13239,3448,21,4,2.86517085356337
"32806",3000,13239,3448,21,4,3.78594195377869
"32807",2000,13239,3448,21,4,0
"32808",1000,13239,3448,21,4,0.000611252763420111
"32809",1000,13239,3448,21,4,1.67063976478721
"32810",1000,13239,3448,21,4,6.01410463364614
"32811",1000,13239,3448,21,4,2.29993801781347e-12
"32812",2000,13239,3448,21,4,8.0629043331372
"32813",1000,13239,3448,21,4,0
"32814",1000,13239,3448,21,4,0
"32815",1000,13239,3448,21,4,1.81873078697302
"32816",1000,13240,1447,21,4,0
"32817",1000,13241,8042,21,4,0
"32818",2000,13241,8042,21,4,0
"32819",0,13241,8042,21,4,0
"32820",1000,13241,8042,21,4,0
"32821",1000,13241,8042,21,4,0
"32822",1000,13240,1447,21,4,2.45619225923395
"32823",0,13242,3310,21,4,1.69240452085424
"32824",4000,13242,3310,21,4,9.3193919215498
"32825",0,13242,3310,21,4,0
"32826",2000,13242,3310,21,4,7.86196372783795
"32827",2000,13242,3310,21,4,2.45619225923395
"32828",3000,13242,3310,21,4,2.90864762822669
"32829",1000,13242,3310,21,4,1.63746150617961
"32830",1000,13242,3310,21,4,2.26032940986443e-06
"32831",1000,13242,3310,21,4,4.52217804980393e-06
"32832",1000,13242,3310,21,4,3.76794332843265
"32833",1000,13242,3310,21,4,3.46516566696286
"32834",1000,13242,3310,21,4,0.15115398866696
"32835",1000,13242,3310,21,4,2.26032940986443e-06
"32836",2000,13242,3310,21,4,4.44922387600129
"32837",1000,13242,3310,21,4,2.87896400507194
"32838",1000,13242,3310,21,4,1.37615501216715e-08
"32839",1000,13242,3310,21,4,2.10187608281514
